"Date","Price","Open","High","Low","Vol.","Change %"
"04/03/2016","1.2988","1.3012","1.3219","1.2950","","-0.18%"
"03/27/2016","1.3012","1.3272","1.3287","1.2855","","-1.98%"
"03/20/2016","1.3275","1.3003","1.3298","1.2994","","2.11%"
"03/13/2016","1.3001","1.3212","1.3406","1.2921","","-1.58%"
"03/06/2016","1.3210","1.3315","1.3447","1.3166","","-0.79%"
"02/28/2016","1.3315","1.3511","1.3589","1.3311","","-1.47%"
"02/21/2016","1.3513","1.3765","1.3861","1.3503","","-1.84%"
"02/14/2016","1.3766","1.3852","1.3912","1.3651","","-0.58%"
"02/07/2016","1.3847","1.3910","1.4017","1.3785","","-0.49%"
"01/31/2016","1.3915","1.3973","1.4103","1.3637","","-0.42%"
"01/24/2016","1.3973","1.4118","1.4327","1.3948","","-1.02%"
"01/17/2016","1.4117","1.4543","1.4691","1.4113","","-2.91%"
"01/10/2016","1.4540","1.4168","1.4554","1.4063","","2.61%"
"01/03/2016","1.4170","1.3838","1.4180","1.3814","","2.32%"
"12/27/2015","1.3849","1.3816","1.3941","1.3814","","0.20%"
"12/20/2015","1.3822","1.3938","1.3996","1.3796","","-0.95%"
"12/13/2015","1.3955","1.3749","1.4001","1.3671","","1.45%"
"12/06/2015","1.3756","1.3366","1.3759","1.3363","","2.95%"
"11/29/2015","1.3362","1.3366","1.3417","1.3291","","-0.07%"
"11/22/2015","1.3372","1.3337","1.3437","1.3277","","0.22%"
"11/15/2015","1.3343","1.3322","1.3372","1.3244","","0.15%"
"11/08/2015","1.3323","1.3301","1.3351","1.3222","","0.12%"
"11/01/2015","1.3307","1.3075","1.3317","1.3034","","1.75%"
"10/25/2015","1.3078","1.3163","1.3281","1.3054","","-0.65%"
"10/18/2015","1.3164","1.2915","1.3200","1.2900","","1.96%"
"10/11/2015","1.2911","1.2952","1.3082","1.2830","","-0.25%"
"10/04/2015","1.2943","1.3155","1.3176","1.2899","","-1.57%"
"09/27/2015","1.3149","1.3333","1.3457","1.3149","","-1.41%"
"09/20/2015","1.3337","1.3204","1.3417","1.3174","","0.83%"
"09/13/2015","1.3227","1.3260","1.3283","1.3011","","-0.26%"
"09/06/2015","1.3262","1.3275","1.3311","1.3153","","-0.17%"
"08/30/2015","1.3284","1.3202","1.3329","1.3116","","0.63%"
"08/23/2015","1.3201","1.3184","1.3354","1.3146","","0.11%"
"08/16/2015","1.3186","1.3087","1.3189","1.3022","","0.75%"
"08/09/2015","1.3088","1.3131","1.3182","1.2950","","-0.32%"
"08/02/2015","1.3130","1.3095","1.3215","1.3049","","0.31%"
"07/26/2015","1.3089","1.3036","1.3095","1.2861","","0.31%"
"07/19/2015","1.3049","1.2971","1.3103","1.2914","","0.60%"
"07/12/2015","1.2971","1.2672","1.3008","1.2669","","2.47%"
"07/05/2015","1.2658","1.2572","1.2782","1.2563","","0.67%"
"06/28/2015","1.2574","1.2343","1.2635","1.2304","","2.08%"
"06/21/2015","1.2318","1.2267","1.2424","1.2217","","0.42%"
"06/14/2015","1.2266","1.2316","1.2361","1.2126","","-0.45%"
"06/07/2015","1.2322","1.2441","1.2473","1.2201","","-0.94%"
"05/31/2015","1.2439","1.2442","1.2565","1.2366","","-0.07%"
